,STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,GDP
5895,ANDHRA PRADESH,VIZIANAGARAM,2009,30,24,2,13,0,13,15,12,3,1,0,4,128,242,1,241,8,12,118,19,15,523,8,103,105,297,0,265,1519,3451,10104.0
6665,ANDHRA PRADESH,VIZIANAGARAM,2010,26,40,2,32,0,32,19,15,4,1,0,6,122,269,0,269,0,11,117,6,15,526,14,101,85,312,0,312,1846,3862,12187.0
7444,ANDHRA PRADESH,VIZIANAGARAM,2011,38,32,3,50,0,50,26,20,6,0,0,11,128,344,0,344,8,15,102,1,8,1551,5,79,99,384,0,266,1668,4818,13864.0
8235,ANDHRA PRADESH,VIZIANAGARAM,2012,44,36,7,44,0,44,21,20,1,2,0,4,162,263,2,261,1,11,118,0,15,1504,3,96,103,363,0,289,1396,4482,15858.0
2190,ANDHRA PRADESH,WARANGAL,2004,111,67,7,53,0,53,125,88,37,9,0,31,352,670,175,495,304,9,400,6,0,1902,43,228,0,162,0,434,2804,7717,7349.51
2919,ANDHRA PRADESH,WARANGAL,2005,117,93,2,34,0,34,82,64,18,7,0,29,318,650,181,469,249,15,300,17,45,1615,29,226,50,332,0,353,2120,6683,8530.56
3652,ANDHRA PRADESH,WARANGAL,2006,116,89,2,50,0,50,103,78,25,1,0,19,319,718,188,530,464,15,290,10,70,1743,40,230,56,480,0,487,2577,7879,9289.9
4392,ANDHRA PRADESH,WARANGAL,2007,106,61,5,57,0,57,138,109,29,1,0,15,277,697,202,495,217,8,294,9,63,1690,56,279,50,608,0,469,2233,7333,11233.17
5135,ANDHRA PRADESH,WARANGAL,2008,121,73,5,59,0,59,82,62,20,1,0,3,263,455,140,315,173,15,304,14,44,1562,36,223,54,519,0,512,2240,6758,13705.13
5896,ANDHRA PRADESH,WARANGAL,2009,103,42,5,70,0,70,140,130,10,3,0,14,277,516,216,300,289,9,365,7,40,1421,49,234,25,432,0,510,2928,7479,14441.0
6666,ANDHRA PRADESH,WARANGAL,2010,49,19,5,28,0,28,49,39,10,3,0,6,141,132,5,127,146,0,131,2,10,803,7,98,10,50,0,248,780,2717,19107.0
7445,ANDHRA PRADESH,WARANGAL,2011,72,32,8,48,0,48,68,62,6,1,0,12,234,338,8,330,208,8,179,1,27,975,26,157,27,89,0,305,1701,4516,20255.0
8236,ANDHRA PRADESH,WARANGAL,2012,75,47,10,56,0,56,66,58,8,3,0,22,262,388,69,319,173,5,197,6,25,1482,20,117,34,101,0,306,1327,4722,23247.0
