MURDER_PER_CAPITA,ATTEMPT TO MURDER_PER_CAPITA,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER_PER_CAPITA,RAPE_PER_CAPITA,CUSTODIAL RAPE_PER_CAPITA,OTHER RAPE_PER_CAPITA,KIDNAPPING & ABDUCTION_PER_CAPITA,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS_PER_CAPITA,KIDNAPPING AND ABDUCTION OF OTHERS_PER_CAPITA,DACOITY_PER_CAPITA,PREPARATION AND ASSEMBLY FOR DACOITY_PER_CAPITA,ROBBERY_PER_CAPITA,BURGLARY_PER_CAPITA,THEFT_PER_CAPITA,AUTO THEFT_PER_CAPITA,OTHER THEFT_PER_CAPITA,RIOTS_PER_CAPITA,CRIMINAL BREACH OF TRUST_PER_CAPITA,CHEATING_PER_CAPITA,COUNTERFIETING_PER_CAPITA,ARSON_PER_CAPITA,HURT/GREVIOUS HURT_PER_CAPITA,DOWRY DEATHS_PER_CAPITA,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY_PER_CAPITA,INSULT TO MODESTY OF WOMEN_PER_CAPITA,CRUELTY BY HUSBAND OR HIS RELATIVES_PER_CAPITA,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES_PER_CAPITA,CAUSING DEATH BY NEGLIGENCE_PER_CAPITA,OTHER IPC CRIMES_PER_CAPITA,TOTAL IPC CRIMES_PER_CAPITA,STATE,YEAR,GDP,literacy_rate_percentage,Literacy_Rate_per_capita,STATE/UT,DEMOGRAPHIC PARTICULARS,Male Convicts,Female Convicts,Total Convicts,Male Under trial,Female Under trial,Total Under trial,Male Detenues,Female Detenues,Total Detenues,Male Others,Female Others,Total Others,Total Male,Total Female,Grand Total,grand_total_capita
3.626220362622036e-05,0.0,0.0,8.368200836820084e-06,0.0,8.368200836820084e-06,5.578800557880056e-06,5.578800557880056e-06,0.0,0.0,0.0,1.1157601115760113e-05,0.0001785216178521,0.0001813110181311,1.1157601115760113e-05,0.0001701534170153,3.626220362622036e-05,2.789400278940028e-05,2.2315202231520225e-05,5.578800557880056e-06,1.1157601115760113e-05,0.0003291492329149,0.0,5.299860529986053e-05,2.789400278940028e-06,2.510460251046025e-05,0.0,0.0,0.0009009762900976,0.0018354253835425,Andaman and Nicobar Islands,2002,0.0034253835425383,81.797,0.81797,Andaman and Nicobar Islands,Educational Standard - Post-Graduate,4,1,5,3,0,3,0,0,0,0,0,0,7,1,8,2.2315202231520222e-05
3.626220362622036e-05,0.0,0.0,8.368200836820084e-06,0.0,8.368200836820084e-06,5.578800557880056e-06,5.578800557880056e-06,0.0,0.0,0.0,1.1157601115760113e-05,0.0001785216178521,0.0001813110181311,1.1157601115760113e-05,0.0001701534170153,3.626220362622036e-05,2.789400278940028e-05,2.2315202231520225e-05,5.578800557880056e-06,1.1157601115760113e-05,0.0003291492329149,0.0,5.299860529986053e-05,2.789400278940028e-06,2.510460251046025e-05,0.0,0.0,0.0009009762900976,0.0018354253835425,Andaman and Nicobar Islands,2002,0.0034253835425383,81.797,0.81797,Andaman and Nicobar Islands,Educational Standard - Holding technical degree/diploma etc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3.601108033240997e-05,0.0,0.0,8.310249307479224e-06,0.0,8.310249307479224e-06,5.540166204986149e-06,5.540166204986149e-06,0.0,0.0,0.0,1.10803324099723e-05,0.0001772853185595,0.000180055401662,1.10803324099723e-05,0.000168975069252,3.601108033240997e-05,2.7700831024930747e-05,2.21606648199446e-05,5.540166204986149e-06,1.10803324099723e-05,0.0003268698060941,0.0,5.263157894736842e-05,2.7700831024930747e-06,2.4930747922437677e-05,0.0,0.0,0.0008947368421052,0.0018227146814404,Andaman and Nicobar Islands,2003,0.0038559556786703,82.294,0.8229400000000001,Andaman and Nicobar Islands,Educational Standard - Illiterate,3,0,3,23,0,23,0,0,0,0,0,0,26,0,26,7.202216066481994e-05
3.601108033240997e-05,0.0,0.0,8.310249307479224e-06,0.0,8.310249307479224e-06,5.540166204986149e-06,5.540166204986149e-06,0.0,0.0,0.0,1.10803324099723e-05,0.0001772853185595,0.000180055401662,1.10803324099723e-05,0.000168975069252,3.601108033240997e-05,2.7700831024930747e-05,2.21606648199446e-05,5.540166204986149e-06,1.10803324099723e-05,0.0003268698060941,0.0,5.263157894736842e-05,2.7700831024930747e-06,2.4930747922437677e-05,0.0,0.0,0.0008947368421052,0.0018227146814404,Andaman and Nicobar Islands,2003,0.0038559556786703,82.294,0.8229400000000001,Andaman and Nicobar Islands,Educational Standard - Below Class X,75,1,76,178,1,179,0,0,0,0,0,0,253,2,255,0.0007063711911357341
3.601108033240997e-05,0.0,0.0,8.310249307479224e-06,0.0,8.310249307479224e-06,5.540166204986149e-06,5.540166204986149e-06,0.0,0.0,0.0,1.10803324099723e-05,0.0001772853185595,0.000180055401662,1.10803324099723e-05,0.000168975069252,3.601108033240997e-05,2.7700831024930747e-05,2.21606648199446e-05,5.540166204986149e-06,1.10803324099723e-05,0.0003268698060941,0.0,5.263157894736842e-05,2.7700831024930747e-06,2.4930747922437677e-05,0.0,0.0,0.0008947368421052,0.0018227146814404,Andaman and Nicobar Islands,2003,0.0038559556786703,82.294,0.8229400000000001,Andaman and Nicobar Islands,Educational Standard - Class X and above but below graduate,10,0,10,2,0,2,0,0,0,0,0,0,12,0,12,3.3240997229916896e-05
3.601108033240997e-05,0.0,0.0,8.310249307479224e-06,0.0,8.310249307479224e-06,5.540166204986149e-06,5.540166204986149e-06,0.0,0.0,0.0,1.10803324099723e-05,0.0001772853185595,0.000180055401662,1.10803324099723e-05,0.000168975069252,3.601108033240997e-05,2.7700831024930747e-05,2.21606648199446e-05,5.540166204986149e-06,1.10803324099723e-05,0.0003268698060941,0.0,5.263157894736842e-05,2.7700831024930747e-06,2.4930747922437677e-05,0.0,0.0,0.0008947368421052,0.0018227146814404,Andaman and Nicobar Islands,2003,0.0038559556786703,82.294,0.8229400000000001,Andaman and Nicobar Islands,Educational Standard - Graduate,2,1,3,0,0,0,0,0,0,0,0,0,2,1,3,8.310249307479224e-06
3.601108033240997e-05,0.0,0.0,8.310249307479224e-06,0.0,8.310249307479224e-06,5.540166204986149e-06,5.540166204986149e-06,0.0,0.0,0.0,1.10803324099723e-05,0.0001772853185595,0.000180055401662,1.10803324099723e-05,0.000168975069252,3.601108033240997e-05,2.7700831024930747e-05,2.21606648199446e-05,5.540166204986149e-06,1.10803324099723e-05,0.0003268698060941,0.0,5.263157894736842e-05,2.7700831024930747e-06,2.4930747922437677e-05,0.0,0.0,0.0008947368421052,0.0018227146814404,Andaman and Nicobar Islands,2003,0.0038559556786703,82.294,0.8229400000000001,Andaman and Nicobar Islands,Educational Standard - Post-Graduate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3.601108033240997e-05,0.0,0.0,8.310249307479224e-06,0.0,8.310249307479224e-06,5.540166204986149e-06,5.540166204986149e-06,0.0,0.0,0.0,1.10803324099723e-05,0.0001772853185595,0.000180055401662,1.10803324099723e-05,0.000168975069252,3.601108033240997e-05,2.7700831024930747e-05,2.21606648199446e-05,5.540166204986149e-06,1.10803324099723e-05,0.0003268698060941,0.0,5.263157894736842e-05,2.7700831024930747e-06,2.4930747922437677e-05,0.0,0.0,0.0008947368421052,0.0018227146814404,Andaman and Nicobar Islands,2003,0.0038559556786703,82.294,0.8229400000000001,Andaman and Nicobar Islands,Educational Standard - Holding technical degree/diploma etc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3.576341127922971e-05,0.0,0.0,8.253094910591471e-06,0.0,8.253094910591471e-06,5.502063273727648e-06,5.502063273727648e-06,0.0,0.0,0.0,1.1004126547455296e-05,0.0001760660247592,0.0001788170563961,1.1004126547455296e-05,0.0001678129298486,3.576341127922971e-05,2.751031636863824e-05,2.2008253094910596e-05,5.502063273727648e-06,1.1004126547455296e-05,0.0003246217331499,0.0,5.2269601100412654e-05,2.751031636863824e-06,2.475928473177441e-05,0.0,0.0,0.000888583218707,0.0018101788170563,Andaman and Nicobar Islands,2004,0.0049876203576341,82.791,0.8279099999999999,Andaman and Nicobar Islands,Educational Standard - Illiterate,0,0,0,5,0,5,0,0,0,0,0,0,5,0,5,1.375515818431912e-05
3.576341127922971e-05,0.0,0.0,8.253094910591471e-06,0.0,8.253094910591471e-06,5.502063273727648e-06,5.502063273727648e-06,0.0,0.0,0.0,1.1004126547455296e-05,0.0001760660247592,0.0001788170563961,1.1004126547455296e-05,0.0001678129298486,3.576341127922971e-05,2.751031636863824e-05,2.2008253094910596e-05,5.502063273727648e-06,1.1004126547455296e-05,0.0003246217331499,0.0,5.2269601100412654e-05,2.751031636863824e-06,2.475928473177441e-05,0.0,0.0,0.000888583218707,0.0018101788170563,Andaman and Nicobar Islands,2004,0.0049876203576341,82.791,0.8279099999999999,Andaman and Nicobar Islands,Educational Standard - Below Class X,48,1,49,142,1,143,0,0,0,0,0,0,190,2,192,0.0005281980742778542
