MURDER_PER_CAPITA,ATTEMPT TO MURDER_PER_CAPITA,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER_PER_CAPITA,RAPE_PER_CAPITA,CUSTODIAL RAPE_PER_CAPITA,OTHER RAPE_PER_CAPITA,KIDNAPPING & ABDUCTION_PER_CAPITA,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS_PER_CAPITA,KIDNAPPING AND ABDUCTION OF OTHERS_PER_CAPITA,DACOITY_PER_CAPITA,PREPARATION AND ASSEMBLY FOR DACOITY_PER_CAPITA,ROBBERY_PER_CAPITA,BURGLARY_PER_CAPITA,THEFT_PER_CAPITA,AUTO THEFT_PER_CAPITA,OTHER THEFT_PER_CAPITA,RIOTS_PER_CAPITA,CRIMINAL BREACH OF TRUST_PER_CAPITA,CHEATING_PER_CAPITA,COUNTERFIETING_PER_CAPITA,ARSON_PER_CAPITA,HURT/GREVIOUS HURT_PER_CAPITA,DOWRY DEATHS_PER_CAPITA,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY_PER_CAPITA,INSULT TO MODESTY OF WOMEN_PER_CAPITA,CRUELTY BY HUSBAND OR HIS RELATIVES_PER_CAPITA,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES_PER_CAPITA,CAUSING DEATH BY NEGLIGENCE_PER_CAPITA,OTHER IPC CRIMES_PER_CAPITA,TOTAL IPC CRIMES_PER_CAPITA,STATE,YEAR,GDP,literacy_rate_percentage,Literacy_Rate_per_capita
3.412073490813648e-05,0.0,0.0,7.874015748031496e-06,0.0,7.874015748031496e-06,5.2493438320209976e-06,5.2493438320209976e-06,0.0,0.0,0.0,1.0498687664041997e-05,0.0001679790026246,0.0001706036745406,1.0498687664041997e-05,0.0001601049868766,3.412073490813648e-05,2.6246719160104988e-05,2.099737532808399e-05,5.2493438320209976e-06,1.0498687664041997e-05,0.0003097112860892,0.0,4.9868766404199474e-05,2.6246719160104988e-06,2.362204724409449e-05,0.0,0.0,0.0008477690288713,0.0017270341207349,Andaman and Nicobar Islands,2011,0.0104409448818897,86.27,0.8626999999999999
3.414250098412282e-05,2.04041464374754e-05,1.7845427109303242e-06,1.1428946332502296e-05,0.0,1.1428946332502296e-05,1.5509775619997377e-05,1.0038052748983071e-05,5.471722871014302e-06,2.8080304421991863e-06,1.1809473822333028e-07,8.253510038052749e-06,9.473822333027162e-05,0.0002198005511087,4.003411625770896e-05,0.000179766434851,3.937803437869046e-05,1.0339850413331584e-05,7.073874819577484e-05,1.8895158115732843e-06,1.1442067970082668e-05,0.0004585618685211,5.511087783755413e-06,4.650308358483139e-05,2.979923894502034e-05,7.598740322792284e-05,9.185146306259021e-08,9.710011809473824e-05,0.0004506495210602,0.0017069807111927,Andhra Pradesh,2001,0.0020563049468573,60.47,0.6047
3.3771550129725844e-05,2.0182459820032163e-05,1.7651540421378612e-06,1.130477331398586e-05,0.0,1.130477331398586e-05,1.5341265277992292e-05,9.928991487025467e-06,5.412273790966824e-06,2.7775218015992816e-06,1.1681166455324081e-07,8.163837444887607e-06,9.370891311937764e-05,0.0002174124658812,3.959915428354864e-05,0.0001778133115977,3.8950200591586186e-05,1.0227510185328196e-05,6.997018706739125e-05,1.868986632851853e-06,1.131775238782511e-05,0.0004535796934602,5.451211012484571e-06,4.599783768629838e-05,2.947547668893443e-05,7.516181660309083e-05,9.085351687474284e-08,9.604514641044244e-05,0.0004457533119351,0.001688434736674,Andhra Pradesh,2002,0.0021687513222431,61.189,0.61189
3.340857324078568e-05,1.9965538581637868e-05,1.7461821524776526e-06,1.118326952064732e-05,0.0,1.118326952064732e-05,1.5176377236974894e-05,9.822274607686796e-06,5.354102629288097e-06,2.7476689752221888e-06,1.1555617185513879e-07,8.076092455209143e-06,9.270172897712245e-05,0.0002150757149717,3.917354225889205e-05,0.0001759021727128,3.85315635263635e-05,1.011758482464993e-05,6.921814694122813e-05,1.8488987496822205e-06,1.119610909529789e-05,0.0004487046153135,5.39262135323981e-06,4.550345256162354e-05,2.915867403144669e-05,7.435397680145652e-05,8.987702255399685e-08,9.501285241422522e-05,0.0004409623517992,0.0016702874267181,Andhra Pradesh,2003,0.0024397374563775,61.908,0.61908
3.3053315938634145e-05,1.9753230701220635e-05,1.7276137462160814e-06,1.1064349801133874e-05,0.0,1.1064349801133874e-05,1.5014995941378e-05,9.717827322465456e-06,5.297168618912544e-06,2.7184510418400103e-06,1.143273802642995e-07,7.990213576249376e-06,9.171596505647138e-05,0.0002127886607563,3.875698190959753e-05,0.0001740316788467,3.812182979701809e-05,1.0009997294252e-05,6.848210077831539e-05,1.829238084228792e-06,1.1077052843385462e-05,0.0004439332175662,5.33527774566731e-06,4.501958173963082e-05,2.884860895335824e-05,7.356331767895094e-05,8.892129576112184e-08,9.400251266175736e-05,0.0004362732830885,0.0016525260634669,Andhra Pradesh,2004,0.0028545387334812,62.627,0.62627
3.270553455071997e-05,1.9545390555868397e-05,1.7094360872013514e-06,1.0947932587885126e-05,0.0,1.0947932587885126e-05,1.4857010699058805e-05,9.6155779905076e-06,5.241432708551202e-06,2.689847960743303e-06,1.1312444694714828e-07,7.906141903306251e-06,9.075094521760115e-05,0.0002105497345346,3.834918751508326e-05,0.0001722005470195,3.772071836537688e-05,9.904673799372536e-06,6.776154372134181e-05,1.809991151154372e-06,1.0960501970879251e-05,0.0004392622274957,5.279140857533585e-06,4.454589333118816e-05,2.8545068779663743e-05,7.278929691899283e-05,8.798568095889309e-08,9.301343415654412e-05,0.0004316828895503,0.001635138464323,Andhra Pradesh,2005,0.0032170204529,63.346,0.6334599999999999
3.23649955532337e-05,1.93418785877319e-05,1.6916369697308929e-06,1.083393971055594e-05,0.0,1.083393971055594e-05,1.470231542810232e-05,9.515457954736273e-06,5.186857473366047e-06,2.6618405259000814e-06,1.1194656417336793e-07,7.82382098500538e-06,8.980602148130182e-05,0.0002083574329408,3.794988525477172e-05,0.0001704075476861,3.732795989825301e-05,9.80154361873488e-06,6.705599193984737e-05,1.7911450267738863e-06,1.0846378217686314e-05,0.0004346885086851,5.2241729947571695e-06,4.408206927004621e-05,2.8247849693079835e-05,7.203139479199707e-05,8.706954991261949e-08,9.204495276476915e-05,0.0004271880888855,0.0016181129540832,Andhra Pradesh,2006,0.0037444259939922,64.065,0.6406499999999999
3.203147504819494e-05,1.9142560991523103e-05,1.6742046912200274e-06,1.0722296220975322e-05,0.0,1.0722296220975322e-05,1.4550808419279943e-05,9.417401388112656e-06,5.13340703116729e-06,2.6344103229491607e-06,1.107929575072077e-07,7.743196696892627e-06,8.88805725780044e-05,0.0002062103145781,3.755881259494341e-05,0.0001686515019831,3.694329616434781e-05,9.70053894618663e-06,6.63649815468174e-05,1.7726873201153233e-06,1.0734606549587237e-05,0.0004302090540004,5.170338017003026e-06,4.3627804600616006e-05,2.795675627765208e-05,7.12891129915822e-05,8.617230028338378e-08,9.109643172814856e-05,0.0004227859258475,0.001601438338795,Andhra Pradesh,2007,0.0044909679118974,64.78399999999999,0.64784
3.170475827254151e-05,1.8947309421138373e-05,1.6571280265432918e-06,1.06129302288177e-05,0.0,1.06129302288177e-05,1.4402392113045376e-05,9.321345149306016e-06,5.081046963739359e-06,2.607539688825474e-06,1.0966288410948257e-07,7.664217122762725e-06,8.797400258560711e-05,0.0002041069968575,3.717571771311458e-05,0.0001669312791444,3.65664794680619e-05,9.60159474203025e-06,6.568806758158005e-05,1.7546061457517208e-06,1.0625114993718751e-05,0.0004258209789971,5.117601258442519e-06,4.318280680933402e-05,2.7671601090292764e-05,7.05619735420015e-05,8.529335430737532e-08,9.016726026779675e-05,0.0004184735657617,0.0015851038812131,Andhra Pradesh,2008,0.0052000311929981,65.503,0.65503
3.138463913695861e-05,1.8756000714054817e-05,1.6403962039301962e-06,1.050577274722942e-05,0.0,1.050577274722942e-05,1.4256972890040382e-05,9.227228647107354e-06,5.0297442429330285e-06,2.581211673831338e-06,1.0855563114243946e-07,7.586832443177158e-06,8.708573964982366e-05,0.0002020461530296,3.6800358957286977e-05,0.0001652457940723,3.619727211760676e-05,9.504648593360256e-06,6.502482305432124e-05,1.7368900982790314e-06,1.0517834484023025e-05,0.000421521515726,5.065929453313842e-06,4.274679519653394e-05,2.739220425827556e-05,6.984951777176299e-05,8.443215755523069e-08,8.925685227267245e-05,0.0004142482884395,0.0015690992777432,Andhra Pradesh,2009,0.0057514582639783,66.222,0.6622199999999999
