STATE/UT,YEAR,DEMOGRAPHIC PARTICULARS,Male Convicts,Female Convicts,Total Convicts,Male Under trial,Female Under trial,Total Under trial,Male Detenues,Female Detenues,Total Detenues,Male Others,Female Others,Total Others,Total Male,Total Female,Grand Total,grand_total_capita
Andhra Pradesh,2009,Educational Standard - Below Class X,2073,58,2131,2926,143,3069,29,1,30,11,0,11,5039,202,5241,6.321556253528057e-05
Andhra Pradesh,2009,Educational Standard - Class X and above but below graduate,799,16,815,1218,45,1263,7,0,7,0,0,0,2024,61,2085,2.514872121466514e-05
Andhra Pradesh,2009,Educational Standard - Graduate,286,13,299,447,6,453,0,0,0,0,0,0,733,19,752,9.070426068790497e-06
Andhra Pradesh,2009,Educational Standard - Post-Graduate,76,2,78,110,3,113,0,0,0,0,0,0,186,5,191,2.3037917275784376e-06
Andhra Pradesh,2009,Educational Standard - Holding technical degree/diploma etc,26,0,26,114,2,116,0,0,0,0,0,0,140,2,142,1.7127666246918226e-06
Andhra Pradesh,2010,Educational Standard - Illiterate,1638,127,1765,2693,356,3049,5,2,7,7,0,7,4343,485,4828,5.7651960321886134e-05
Andhra Pradesh,2010,Educational Standard - Below Class X,1546,77,1623,2923,151,3074,21,0,21,5,0,5,4495,228,4723,5.639813765539938e-05
Andhra Pradesh,2010,Educational Standard - Class X and above but below graduate,786,22,808,1030,28,1058,0,0,0,0,0,0,1816,50,1866,2.228221995870744e-05
Andhra Pradesh,2010,Educational Standard - Graduate,387,4,391,261,8,269,0,0,0,0,0,0,648,12,660,7.881171046488162e-06
Andhra Pradesh,2010,Educational Standard - Post-Graduate,100,1,101,52,2,54,0,0,0,0,0,0,152,3,155,1.8508810790994927e-06
Andhra Pradesh,2010,Educational Standard - Holding technical degree/diploma etc,110,0,110,144,1,145,2,0,2,1,0,1,257,1,258,3.080821409081736e-06
Andhra Pradesh,2011,Educational Standard - Illiterate,1579,191,1770,2562,371,2933,2,1,3,2,0,2,4145,563,4708,5.566261926437379e-05
Andhra Pradesh,2011,Educational Standard - Below Class X,1660,40,1700,3682,165,3847,9,0,9,13,0,13,5364,205,5569,6.584221042550928e-05
Andhra Pradesh,2011,Educational Standard - Class X and above but below graduate,803,27,830,1264,37,1301,2,0,2,2,0,2,2071,64,2135,2.5242075643466026e-05
Andhra Pradesh,2011,Educational Standard - Graduate,196,2,198,294,6,300,0,0,0,0,0,0,490,8,498,5.887847152433762e-06
Andhra Pradesh,2011,Educational Standard - Post-Graduate,48,1,49,78,1,79,0,0,0,0,0,0,126,2,128,1.513342239982975e-06
Andhra Pradesh,2011,Educational Standard - Holding technical degree/diploma etc,91,0,91,84,0,84,0,0,0,0,0,0,175,0,175,2.0690225937267235e-06
Arunachal Pradesh,2009,Educational Standard - Illiterate,0,0,0,16,3,19,0,0,0,0,0,0,16,3,19,1.4320168827253542e-05
Arunachal Pradesh,2009,Educational Standard - Below Class X,1,0,1,28,0,28,0,0,0,0,0,0,29,0,29,2.1857099788965933e-05
Arunachal Pradesh,2009,Educational Standard - Class X and above but below graduate,0,0,0,11,1,12,0,0,0,0,0,0,11,1,12,9.044317154054868e-06
Arunachal Pradesh,2009,Educational Standard - Graduate,1,0,1,1,0,1,0,0,0,0,0,0,2,0,2,1.5073861923424781e-06
Arunachal Pradesh,2009,Educational Standard - Post-Graduate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Arunachal Pradesh,2009,Educational Standard - Holding technical degree/diploma etc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Arunachal Pradesh,2010,Educational Standard - Illiterate,2,0,2,7,1,8,0,0,0,0,0,0,9,1,10,7.377895824110963e-06
Arunachal Pradesh,2010,Educational Standard - Below Class X,1,0,1,32,1,33,0,0,0,0,0,0,33,1,34,2.5084845801977277e-05
Arunachal Pradesh,2010,Educational Standard - Class X and above but below graduate,1,0,1,8,2,10,0,0,0,0,0,0,9,2,11,8.11568540652206e-06
Arunachal Pradesh,2010,Educational Standard - Graduate,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,7.377895824110964e-07
Arunachal Pradesh,2010,Educational Standard - Post-Graduate,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,7.377895824110964e-07
Arunachal Pradesh,2010,Educational Standard - Holding technical degree/diploma etc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Arunachal Pradesh,2011,Educational Standard - Illiterate,0,0,0,14,2,16,0,0,0,0,0,0,14,2,16,1.1560693641618498e-05
Arunachal Pradesh,2011,Educational Standard - Below Class X,5,0,5,26,2,28,0,0,0,0,0,0,31,2,33,2.384393063583815e-05
Arunachal Pradesh,2011,Educational Standard - Class X and above but below graduate,0,0,0,3,1,4,0,0,0,0,0,0,3,1,4,2.8901734104046244e-06
Arunachal Pradesh,2011,Educational Standard - Graduate,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,7.225433526011561e-07
Arunachal Pradesh,2011,Educational Standard - Post-Graduate,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,7.225433526011561e-07
Arunachal Pradesh,2011,Educational Standard - Holding technical degree/diploma etc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Assam,2001,Educational Standard - Illiterate,782,18,800,1747,70,1817,1,0,1,1,0,1,2531,88,2619,9.825180072028812e-05
Assam,2001,Educational Standard - Below Class X,1172,23,1195,1567,40,1607,4,0,4,0,0,0,2743,63,2806,0.0001052671068427371
Assam,2001,Educational Standard - Class X and above but below graduate,352,6,358,557,17,574,8,0,8,0,0,0,917,23,940,3.5264105642256905e-05
Assam,2001,Educational Standard - Graduate,44,0,44,62,0,62,3,0,3,0,0,0,109,0,109,4.089135654261705e-06
Assam,2001,Educational Standard - Post-Graduate,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,7.503001200480192e-08
Assam,2001,Educational Standard - Holding technical degree/diploma etc,4,0,4,5,0,5,0,0,0,0,0,0,9,0,9,3.3763505402160866e-07
Assam,2002,Educational Standard - Illiterate,874,24,898,1737,41,1778,0,0,0,0,0,0,2611,65,2676,9.870532256279739e-05
Assam,2002,Educational Standard - Below Class X,1389,25,1414,1790,63,1853,7,0,7,0,0,0,3186,88,3274,0.00012076279001143448
Assam,2002,Educational Standard - Class X and above but below graduate,366,5,371,579,9,588,11,0,11,0,0,0,956,14,970,3.5778835159160485e-05
Assam,2002,Educational Standard - Graduate,40,0,40,82,0,82,0,0,0,0,0,0,122,0,122,4.500018442698535e-06
Assam,2002,Educational Standard - Post-Graduate,3,0,3,8,0,8,0,0,0,0,0,0,11,0,11,4.057393677842942e-07
Assam,2002,Educational Standard - Holding technical degree/diploma etc,4,0,4,10,0,10,0,0,0,0,0,0,14,0,14,5.163955589981926e-07
Assam,2003,Educational Standard - Illiterate,1143,38,1181,1795,61,1856,0,0,0,3,0,3,2941,99,3040,0.00011028078067184212
Assam,2003,Educational Standard - Below Class X,1369,30,1399,1536,51,1587,4,0,4,0,0,0,2909,81,2990,0.00010846695204237103
Assam,2003,Educational Standard - Class X and above but below graduate,455,4,459,910,17,927,21,2,23,0,0,0,1386,23,1409,5.111369077849525e-05
Assam,2003,Educational Standard - Graduate,32,0,32,141,6,147,4,0,4,0,0,0,177,6,183,6.638612783864181e-06
Assam,2003,Educational Standard - Post-Graduate,3,0,3,0,1,1,0,0,0,0,0,0,3,1,4,1.45106290357687e-07
Assam,2003,Educational Standard - Holding technical degree/diploma etc,6,0,6,4,1,5,0,0,0,0,0,0,10,1,11,3.9904229848363927e-07
Assam,2004,Educational Standard - Illiterate,1099,32,1131,1534,66,1600,3,1,4,2,0,2,2638,99,2737,9.767674244316762e-05
Assam,2004,Educational Standard - Below Class X,1704,39,1743,1645,44,1689,60,7,67,3,0,3,3412,90,3502,0.00012497769529995362
Assam,2004,Educational Standard - Class X and above but below graduate,331,6,337,851,21,872,123,26,149,1,0,1,1306,53,1359,4.849933978087863e-05
Assam,2004,Educational Standard - Graduate,42,0,42,132,3,135,29,6,35,1,0,1,204,9,213,7.601441775810999e-06
Assam,2004,Educational Standard - Post-Graduate,4,0,4,0,0,0,0,0,0,0,0,0,4,0,4,1.4275008029692018e-07
Assam,2004,Educational Standard - Holding technical degree/diploma etc,11,0,11,2,0,2,0,0,0,0,0,0,13,0,13,4.6393776096499053e-07
Assam,2005,Educational Standard - Illiterate,1130,37,1167,1876,65,1941,0,0,0,3,0,3,3009,102,3111,0.00010924989464812473
Assam,2005,Educational Standard - Below Class X,1672,36,1708,2017,60,2077,12,0,12,0,0,0,3701,96,3797,0.00013334035679168422
Assam,2005,Educational Standard - Class X and above but below graduate,549,5,554,898,7,905,16,3,19,1,0,1,1464,15,1479,5.1938474504846185e-05
Assam,2005,Educational Standard - Graduate,34,0,34,61,1,62,3,0,3,0,0,0,98,1,99,3.47661188369153e-06
Assam,2005,Educational Standard - Post-Graduate,3,0,3,3,0,3,0,0,0,0,0,0,6,0,6,2.1070375052675939e-07
Assam,2005,Educational Standard - Holding technical degree/diploma etc,9,0,9,12,0,12,0,0,0,0,0,0,21,0,21,7.374631268436578e-07
Assam,2006,Educational Standard - Illiterate,900,31,931,1558,70,1628,2,0,2,1,0,1,2461,101,2562,8.855552867166707e-05
Assam,2006,Educational Standard - Below Class X,1956,45,2001,2174,69,2243,5,0,5,0,0,0,4135,114,4249,0.00014686668279699977
Assam,2006,Educational Standard - Class X and above but below graduate,559,8,567,950,16,966,17,0,17,1,0,1,1527,24,1551,5.361031419584529e-05
Assam,2006,Educational Standard - Graduate,39,0,39,112,3,115,3,0,3,0,0,0,154,3,157,5.426704918599426e-06
Assam,2006,Educational Standard - Post-Graduate,6,0,6,2,1,3,0,0,0,0,0,0,8,1,9,3.1108499533372507e-07
Assam,2006,Educational Standard - Holding technical degree/diploma etc,5,0,5,5,0,5,0,0,0,0,0,0,10,0,10,3.4564999481525005e-07
Assam,2007,Educational Standard - Illiterate,816,31,847,1802,67,1869,5,1,6,0,0,0,2623,99,2722,9.262914312938134e-05
Assam,2007,Educational Standard - Below Class X,2165,59,2224,2027,51,2078,7,2,9,0,0,0,4199,112,4311,0.0001467025113999864
Assam,2007,Educational Standard - Class X and above but below graduate,444,9,453,987,27,1014,18,2,20,0,0,0,1449,38,1487,5.0602327639011775e-05
Assam,2007,Educational Standard - Graduate,43,1,44,96,1,97,0,0,0,0,0,0,139,2,141,4.7982032260259985e-06
Assam,2007,Educational Standard - Post-Graduate,3,0,3,11,0,11,0,0,0,0,0,0,14,0,14,4.7641734159123394e-07
Assam,2007,Educational Standard - Holding technical degree/diploma etc,9,0,9,21,0,21,0,0,0,0,0,0,30,0,30,1.020894303409787e-06
Assam,2008,Educational Standard - Illiterate,930,26,956,1805,82,1887,3,0,3,0,0,0,2738,108,2846,9.53721390033846e-05
